codigo,tipo_entidad,entidad,tipo_recurso,vigente,vigente_aplazamiento,compromiso,obligacion,pago
2020011000109,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,4.879.655.911,4.879.655.911,4.879.654.361,4.879.654.361,4.879.654.361
2020011000109,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,4.879.655.911,4.879.655.911,4.879.654.361,4.879.654.361,4.879.654.361
2020011000109,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,4.879.655.911,4.879.655.911,4.879.654.361,4.879.654.361,4.879.654.361
2020011000109,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,4.879.655.911,4.879.655.911,4.879.654.361,4.879.654.361,4.879.654.361
2020011000111,,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Aportes Nacion,2.278.220.290,2.278.220.290,1.536.838.907,1.431.650.157,1.431.650.157
2020011000111,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Total PGN,2.278.220.290,2.278.220.290,1.536.838.907,1.431.650.157,1.431.650.157
2020011000111,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Total Proyecto,2.278.220.290,2.278.220.290,1.536.838.907,1.431.650.157,1.431.650.157
2020011000111,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Total,2.278.220.290,2.278.220.290,1.536.838.907,1.431.650.157,1.431.650.157
2020011000116,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Aportes Nacion,721.779.710,721.779.710,0,0,0
2020011000116,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Total PGN,721.779.710,721.779.710,0,0,0
2020011000116,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Total Proyecto,721.779.710,721.779.710,0,0,0
2020011000116,Entidades Presupuesto Nacional - PGN,280102-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - CONSEJO NACIONAL ELECTORAL,Total,721.779.710,721.779.710,0,0,0
2018011000448,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,2.230.053.000,2.230.053.000,2.230.053.000,2.007.289.370,2.007.289.370
2018011000448,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,2.230.053.000,2.230.053.000,2.230.053.000,2.007.289.370,2.007.289.370
2018011000448,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,2.230.053.000,2.230.053.000,2.230.053.000,2.007.289.370,2.007.289.370
2018011000448,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,2.230.053.000,2.230.053.000,2.230.053.000,2.007.289.370,2.007.289.370
2018011000553,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Aportes Nacion,3.008.778.007,3.008.778.007,3.007.025.580,2.830.596.369,2.830.596.369
2018011000553,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,3.008.778.007,3.008.778.007,3.007.025.580,2.830.596.369,2.830.596.369
2018011000553,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,3.008.778.007,3.008.778.007,3.007.025.580,2.830.596.369,2.830.596.369
2018011000553,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,3.008.778.007,3.008.778.007,3.007.025.580,2.830.596.369,2.830.596.369
2018011000587,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,2.948.890.339,2.948.890.339,2.756.687.646,2.574.597.260,2.574.597.260
2018011000587,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,2.948.890.339,2.948.890.339,2.756.687.646,2.574.597.260,2.574.597.260
2018011000587,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,2.948.890.339,2.948.890.339,2.756.687.646,2.574.597.260,2.574.597.260
2018011000587,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,2.948.890.339,2.948.890.339,2.756.687.646,2.574.597.260,2.574.597.260
2018011000693,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,4.771.580.128,4.771.580.128,2.537.049.804,261.996.362,261.996.362
2018011000693,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,4.771.580.128,4.771.580.128,2.537.049.804,261.996.362,261.996.362
2018011000693,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,4.771.580.128,4.771.580.128,2.537.049.804,261.996.362,261.996.362
2018011000693,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,4.771.580.128,4.771.580.128,2.537.049.804,261.996.362,261.996.362
2018011000701,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,4.940.983.677,4.940.983.677,4.940.545.427,3.803.682.763,3.741.896.427
2018011000701,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,4.940.983.677,4.940.983.677,4.940.545.427,3.803.682.763,3.741.896.427
2018011000701,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,4.940.983.677,4.940.983.677,4.940.545.427,3.803.682.763,3.741.896.427
2018011000701,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,4.940.983.677,4.940.983.677,4.940.545.427,3.803.682.763,3.741.896.427
2018011000706,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,3.654.855.274,3.654.855.274,3.654.851.823,754.547.335,0
2018011000706,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,3.654.855.274,3.654.855.274,3.654.851.823,754.547.335,0
2018011000706,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,3.654.855.274,3.654.855.274,3.654.851.823,754.547.335,0
2018011000706,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,3.654.855.274,3.654.855.274,3.654.851.823,754.547.335,0
2018011000718,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,3.714.179.073,3.714.179.073,3.713.400.400,2.767.773.179,2.313.567.751
2018011000718,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,3.714.179.073,3.714.179.073,3.713.400.400,2.767.773.179,2.313.567.751
2018011000718,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,3.714.179.073,3.714.179.073,3.713.400.400,2.767.773.179,2.313.567.751
2018011000718,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,3.714.179.073,3.714.179.073,3.713.400.400,2.767.773.179,2.313.567.751
2018011000719,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,26.675.157.111,26.675.157.111,26.651.763.739,23.259.612.568,22.700.856.952
2018011000719,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,26.675.157.111,26.675.157.111,26.651.763.739,23.259.612.568,22.700.856.952
2018011000719,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,26.675.157.111,26.675.157.111,26.651.763.739,23.259.612.568,22.700.856.952
2018011000719,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,26.675.157.111,26.675.157.111,26.651.763.739,23.259.612.568,22.700.856.952
2018011000745,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,2.230.053.000,2.230.053.000,2.230.053.000,2.214.053.000,2.214.053.000
2018011000745,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,2.230.053.000,2.230.053.000,2.230.053.000,2.214.053.000,2.214.053.000
2018011000745,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,2.230.053.000,2.230.053.000,2.230.053.000,2.214.053.000,2.214.053.000
2018011000745,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,2.230.053.000,2.230.053.000,2.230.053.000,2.214.053.000,2.214.053.000
2018011000823,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,2.123.860.000,2.123.860.000,2.105.313.390,1.958.969.962,1.958.969.962
2018011000823,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,2.123.860.000,2.123.860.000,2.105.313.390,1.958.969.962,1.958.969.962
2018011000823,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,2.123.860.000,2.123.860.000,2.105.313.390,1.958.969.962,1.958.969.962
2018011000823,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,2.123.860.000,2.123.860.000,2.105.313.390,1.958.969.962,1.958.969.962
2018011000846,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Aportes Nacion,4.223.900.755,4.223.900.755,4.223.900.755,3.478.090.978,3.478.090.978
2018011000846,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Total PGN,4.223.900.755,4.223.900.755,4.223.900.755,3.478.090.978,3.478.090.978
2018011000846,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Total Proyecto,4.223.900.755,4.223.900.755,4.223.900.755,3.478.090.978,3.478.090.978
2018011000846,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Total,4.223.900.755,4.223.900.755,4.223.900.755,3.478.090.978,3.478.090.978
2020011000108,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Recursos Propios,4.688.077.000,4.688.077.000,4.678.769.300,4.281.557.984,3.884.346.672
2020011000108,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total PGN,4.688.077.000,4.688.077.000,4.678.769.300,4.281.557.984,3.884.346.672
2020011000108,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total Proyecto,4.688.077.000,4.688.077.000,4.678.769.300,4.281.557.984,3.884.346.672
2020011000108,Entidades Presupuesto Nacional - PGN,280200-FONDO ROTATORIO DE LA REGISTRADURÍA,Total,4.688.077.000,4.688.077.000,4.678.769.300,4.281.557.984,3.884.346.672
2018011000622,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Aportes Nacion,142.447.195.900,142.447.195.900,137.819.032.890,97.907.625.968,97.907.625.968
2018011000622,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Total PGN,142.447.195.900,142.447.195.900,137.819.032.890,97.907.625.968,97.907.625.968
2018011000622,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Total Proyecto,142.447.195.900,142.447.195.900,137.819.032.890,97.907.625.968,97.907.625.968
2018011000622,Entidades Presupuesto Nacional - PGN,280101-REGISTRADURÍA NACIONAL DEL ESTADO CIVIL - GESTIÓN GENERAL,Total,142.447.195.900,142.447.195.900,137.819.032.890,97.907.625.968,97.907.625.968
